date_key,1,2,3,4,7,11,12,earnings_pos_sum,earnings_neg_sum,earnings_unc_sum,earnings_org_sum,earnings_gpe_sum,earnings_person_sum,earnings_total_text_len,earnings_total_words,markets_pos_sum,markets_neg_sum,markets_unc_sum,markets_org_sum,markets_gpe_sum,markets_person_sum,markets_total_text_len,markets_total_words,macro_pos_sum,macro_neg_sum,macro_unc_sum,macro_org_sum,macro_gpe_sum,macro_person_sum,macro_total_text_len,macro_total_words,energy_pos_sum,energy_neg_sum,energy_unc_sum,energy_org_sum,energy_gpe_sum,energy_person_sum,energy_total_text_len,energy_total_words,tech_pos_sum,tech_neg_sum,tech_unc_sum,tech_org_sum,tech_gpe_sum,tech_person_sum,tech_total_text_len,tech_total_words,trade_pos_sum,trade_neg_sum,trade_unc_sum,trade_org_sum,trade_gpe_sum,trade_person_sum,trade_total_text_len,trade_total_words,geopol_pos_sum,geopol_neg_sum,geopol_unc_sum,geopol_org_sum,geopol_gpe_sum,geopol_person_sum,geopol_total_text_len,geopol_total_words,allthemes_total_words,earnings_activity_share,markets_activity_share,macro_activity_share,energy_activity_share,tech_activity_share,trade_activity_share,geopol_activity_share,earnings_activity_share_z7,markets_activity_share_z7,macro_activity_share_z7,energy_activity_share_z7,tech_activity_share_z7,trade_activity_share_z7,geopol_activity_share_z7,earnings_sentiment_balance,earnings_sentiment_intensity,markets_sentiment_balance,markets_sentiment_intensity,macro_sentiment_balance,macro_sentiment_intensity,energy_sentiment_balance,energy_sentiment_intensity,tech_sentiment_balance,tech_sentiment_intensity,trade_sentiment_balance,trade_sentiment_intensity,geopol_sentiment_balance,geopol_sentiment_intensity,earnings_uncertainty_ratio,earnings_sentiment_volatility,earnings_uncertainty_z7,markets_uncertainty_ratio,markets_sentiment_volatility,markets_uncertainty_z7,macro_uncertainty_ratio,macro_sentiment_volatility,macro_uncertainty_z7,energy_uncertainty_ratio,energy_sentiment_volatility,energy_uncertainty_z7,tech_uncertainty_ratio,tech_sentiment_volatility,tech_uncertainty_z7,trade_uncertainty_ratio,trade_sentiment_volatility,trade_uncertainty_z7,geopol_uncertainty_ratio,geopol_sentiment_volatility,geopol_uncertainty_z7
2016-01-01,7,12,15,3,12,11,30,7.0,10.0,8.0,35.0,16.0,18.0,7622.0,1238.0,79,123,74,63,18,34,56102,9336,71,224,89,34,68,41,72019,12011,1.0,6.0,0.0,10.0,14.0,9.0,2169.0,338.0,36,52,13,109,25,27,22936,3811,14.0,82.0,18.0,47.0,96.0,30.0,24057.0,3830.0,60,219,74,122,263,115,72110,11885,42449.0,0.029163722025912837,0.21992932862190812,0.282944640753828,0.007962308598351002,0.08977620730270906,0.09022379269729093,0.2799764428739694,,,,,,,,-0.16666666666666666,3.0,-0.21674876847290642,44,-0.5168918918918919,153,-0.625,5.0,-0.1797752808988764,16,-0.7010309278350515,68.0,-0.5678571428571428,159,0.00645682001614205,,,0.007925457855842347,,,0.007409257409257409,,,0.0,,,0.003410283315844701,,,0.004698512137823023,,,0.0062258118795221265,,
2016-01-02,5,9,19,4,7,3,28,3.0,10.0,9.0,17.0,16.0,10.0,7640.0,1282.0,61,120,50,45,13,38,40870,6867,149,290,113,90,73,59,101518,16392,9.0,40.0,6.0,25.0,24.0,13.0,10724.0,1778.0,13,18,22,62,13,21,13085,2131,3.0,18.0,2.0,15.0,40.0,12.0,5366.0,855.0,69,226,72,147,304,180,80880,13169,42474.0,0.0301824602707475,0.16167157151265452,0.3859211300765156,0.041859917598587405,0.050170688640376694,0.02012948793407887,0.3100412007062978,,,,,,,,-0.5,7.0,-0.3241758241758242,59,-0.32045454545454544,141,-0.62,31.0,-0.15625,5,-0.6818181818181818,15.0,-0.5304054054054054,157,0.007014809041309431,,,0.007280139778683751,,,0.006893186116025133,,,0.003372681281618887,,,0.010318949343339587,,,0.002336448598130841,,,0.005466970387243736,,
2016-01-03,5,14,18,8,10,6,28,4.0,13.0,6.0,27.0,4.0,5.0,5421.0,858.0,51,103,49,108,42,49,39764,6688,64,168,69,87,54,62,76341,12574,6.0,42.0,12.0,69.0,51.0,49.0,13711.0,2283.0,22,13,23,90,26,15,22009,3739,23.0,39.0,15.0,32.0,36.0,54.0,21911.0,3619.0,51,257,64,107,260,174,70817,11586,41347.0,0.020750701364032117,0.16174905678630164,0.30410177033955693,0.05521427880429525,0.09042759020992551,0.08752539421495599,0.2802070233143078,-0.008915967107466395,-0.027901986164484038,-0.028272446325290405,0.029593824542749936,0.01989692234581711,0.030821130510128577,-0.014493677471423175,-0.5,9.0,-0.33548387096774196,52,-0.44635193133047213,104,-0.7346938775510204,36.0,0.25,9,-0.25396825396825395,16.0,-0.6666666666666666,206,0.006984866123399301,0.23570226039551587,0.0002489533681744556,0.007325459709971595,0.07596239957043813,-0.00027721261274001074,0.005487077534791253,0.13890217974413877,-0.00166353717400499,0.005253940455341506,0.0035355339059327407,0.0035591118814919122,0.006149732620320855,0.01663488565291386,-0.0007114083623256495,0.004143646408839779,0.013585462993743417,0.0006251219427237431,0.005523431431776991,0.02648237751934175,-0.00032278650019137967
2016-01-04,39,83,59,34,102,42,88,31.0,40.0,30.0,211.0,77.0,52.0,34340.0,5570.0,309,851,347,511,458,250,263173,43479,198,481,191,275,203,154,181905,29900,53.0,77.0,31.0,234.0,67.0,65.0,42013.0,6730.0,244,282,198,1240,199,217,219610,35742,110.0,508.0,149.0,216.0,500.0,180.0,126412.0,20820.0,198,901,176,374,1024,422,237282,38780,181021.0,0.03076974069450122,0.24018627570129597,0.16517329385378574,0.03717780159317652,0.1974456143452177,0.11501364475036184,0.21422810487123112,0.004049815739559484,0.0571486964887813,-0.1509403695570705,0.002114135253869,0.11793494075537339,0.04718041396696253,-0.07455755589708019,-0.125,9.0,-0.46683893195521103,542,-0.4161764705882353,283,-0.183206106870229,24.0,-0.07210626185958255,38,-0.6429725363489499,398.0,-0.639090909090909,703,0.005385029617662897,0.19245008972987526,-0.0014333522250184283,0.007980680772769089,0.06553175920079402,0.0004701589708562413,0.006387746229223103,0.09951019117134412,-0.0002085533135071205,0.0046055563809240824,0.0648233912512383,0.0017254226974727585,0.005539546204851299,0.24162618974119204,-0.0010830078751099675,0.007156236492003266,0.25274813706389865,0.003425802819978944,0.004538304839998969,0.07039541409557917,-0.0011999257764229194
2016-01-05,43,80,77,36,126,49,84,39.0,47.0,21.0,247.0,70.0,79.0,35303.0,5697.0,292,747,321,457,305,210,228773,37776,191,469,217,459,225,164,199033,32288,27.0,97.0,41.0,268.0,110.0,86.0,40034.0,6438.0,280,339,207,1281,171,254,253584,41172,143.0,500.0,154.0,322.0,492.0,177.0,146540.0,23886.0,203,925,197,403,951,439,248293,40361,187618.0,0.03036472851896663,0.2013442135391405,0.1720934446937677,0.03431422190716292,0.21944472574739232,0.12731119982517763,0.21512213581780096,0.00263570798708061,0.005248546009171478,-0.10305114288368976,-0.001215150866699629,0.105803333029557,0.04717031891852228,-0.053813428195797354,-0.09195402298850575,8.0,-0.4375,455,-0.4205748865355522,278,-0.56,70.0,-0.09516129032258064,59,-0.5543478260869565,357.0,-0.6395039858281665,722,0.0036855036855036856,0.20518453753741886,-0.0027727665248382756,0.008497233766577548,0.10243635138571236,0.0008689720133341264,0.006720554987766731,0.08146088547703112,0.00017609395100928903,0.006367448361546824,0.24415192377775727,0.003052263582498869,0.005027566609185631,0.19847848827000542,-0.0013232344406174724,0.006447021392389165,0.21203258740109243,0.001859610697181232,0.00488082850205639,0.06283596138838002,-0.0005574151807384292
2016-01-06,47,87,69,24,119,92,64,53.0,115.0,40.0,262.0,79.0,88.0,53827.0,8716.0,352,874,405,557,317,200,290743,47570,238,515,207,396,221,226,205414,33274,22.0,86.0,19.0,149.0,57.0,41.0,32351.0,5213.0,220,330,209,1227,255,344,231116,37970,269.0,867.0,326.0,518.0,881.0,386.0,276959.0,45321.0,157,677,175,384,685,319,192918,31312,209376.0,0.04162825907334616,0.227197829752074,0.1589190789819321,0.024897672619246622,0.18134752145651145,0.21645643981908233,0.1495484222240265,0.013325598276374803,0.029199708517573256,-0.0943032093135189,-0.010231451002468786,0.048303761824293516,0.12329966306455027,-0.10580921597409085,-0.3668639053254438,62.0,-0.4254278728606357,522,-0.3673740053050398,277,-0.5871559633027523,64.0,-0.1996370235934664,110,-0.5259454705364995,598.0,-0.6227544910179641,520,0.004588734656418492,0.20553410760332302,-0.001314823394832757,0.008513590212524437,0.09968952090881007,0.0007114348312647835,0.006220886551465064,0.07057455655993135,-0.00035842213081751655,0.00364403528960491,0.21161740610902707,-0.0002752171952782181,0.005504200574122356,0.17367839995192783,-0.0005835131294243903,0.007192974714266802,0.1837580839016269,0.0022323291952961928,0.005588733114042091,0.05707628611951073,0.0002614938783387241
2016-01-07,61,143,88,37,92,62,77,38.0,68.0,31.0,319.0,95.0,97.0,46475.0,7616.0,486,1496,589,791,530,399,438095,72081,266,653,262,463,359,265,245339,40199,25.0,70.0,26.0,236.0,60.0,84.0,29317.0,4824.0,172,275,138,931,159,192,167259,27106,182.0,628.0,194.0,354.0,557.0,275.0,173552.0,28706.0,169,779,216,389,760,368,233466,38369,218901.0,0.034791824652127434,0.32928433728335055,0.18363925409543996,0.02203725868196727,0.12382710071173401,0.13113630757142467,0.1752793487496688,0.004286732095234302,0.12312806123336432,-0.05597531347102794,-0.011352019766318862,-0.013343782511024796,0.020383692679731932,-0.06253411901973976,-0.2803738317757009,30.0,-0.5093292990418558,1010,-0.4206521739130435,387,-0.46875,45.0,-0.22991071428571427,103,-0.5499383477188656,446.0,-0.642781875658588,610,0.004069843770513325,0.18748229726640467,-0.0016139105295162348,0.008171249410393717,0.09354312607865424,0.0002506872946592512,0.006517412935323383,0.0672363795315649,-2.3703172238205144e-06,0.00538860103626943,0.19007277573093387,0.0015113483644123183,0.005090935920610913,0.16682459669298444,-0.000898697122241779,0.006757933605044066,0.16520346260791965,0.0014260269270687347,0.005629397967161845,0.05137179008448921,0.00025856522560276015
2016-01-08,56,93,91,36,67,46,70,27.0,70.0,18.0,330.0,85.0,86.0,34871.0,5716.0,356,1022,367,503,436,263,286169,47492,331,687,286,457,345,260,280527,46000,19.0,53.0,17.0,255.0,65.0,66.0,28972.0,4713.0,131,239,129,623,111,147,117558,19173,165.0,513.0,169.0,246.0,522.0,182.0,148186.0,24050.0,158,623,147,397,718,414,194767,31825,178969.0,0.03193831368385763,0.2653629099849137,0.25702631725987596,0.026334022461865118,0.10712968653964351,0.13438006369782646,0.17782309884338157,0.0008399741374916952,0.04272945583684196,0.019210964140287733,-0.005505360764198289,-0.02719451057976565,0.02061708200603406,-0.05118256495515963,-0.4387755102040816,43.0,-0.48295866569978246,666,-0.3493621197252208,356,-0.4657534246575342,34.0,-0.29110512129380056,108,-0.5125184094256259,348.0,-0.5946291560102301,465,0.003148504460381319,0.1712011185259322,-0.0023033819733553527,0.007727454572252753,0.10078515939664513,-0.00022868963800011652,0.006217256146605509,0.0614202248208548,-0.0003020092796417333,0.0036062791684344504,0.17632008385577305,-0.00048303981531600866,0.006727860644622927,0.16309092460090924,0.0008629830940851039,0.00702673485509958,0.1508575122773449,0.0014907212740138708,0.004618865078866336,0.04840551875252997,-0.000788342670496806
2016-01-09,7,16,24,7,14,15,32,16.0,9.0,11.0,39.0,17.0,14.0,11013.0,1847.0,75,216,68,80,55,45,65166,10816,130,253,107,93,92,56,97859,16145,11.0,39.0,8.0,63.0,30.0,24.0,13904.0,2358.0,45,83,39,184,27,41,42750,7089,52.0,176.0,56.0,63.0,176.0,65.0,52516.0,8573.0,79,270,56,164,290,173,85453,13956,60784.0,0.03038578596693263,0.17793863617668831,0.2656082915192893,0.038792465246360125,0.11662416714649997,0.14103808505387844,0.22959611746318992,-0.001096815868332755,-0.046006006796196715,0.030545069074233468,0.004195991650780067,-0.02063522241080934,0.020955879386565412,0.01146215605237571,0.2692307692307692,7.0,-0.4828767123287671,141,-0.3203125,123,-0.5490196078431373,28.0,-0.29457364341085274,38,-0.5414847161572053,124.0,-0.5457142857142857,191,0.005952380952380952,0.16938006438556008,0.0009684138615902243,0.00628640103540723,0.07135565630449188,-0.0016407371317734188,0.006627028366158801,0.046039753826496624,0.00027774199392653534,0.003391267486222976,0.1737541730364859,-0.0012128751819461617,0.005500705218617771,0.1772588348316877,-0.0008347168658187769,0.006531373921156987,0.13741576580752216,0.0006642648811629469,0.004012323565236082,0.04494002869067352,-0.001165192430552519
2016-01-10,8,13,14,7,14,15,21,13.0,12.0,14.0,32.0,2.0,31.0,8212.0,1431.0,65,144,63,79,36,30,48339,7927,51,128,40,84,73,68,51589,8571,10.0,56.0,12.0,51.0,38.0,33.0,14377.0,2373.0,51,43,37,183,20,35,34150,5705,33.0,111.0,36.0,91.0,185.0,87.0,41173.0,6735.0,46,183,30,85,168,88,51660,8361,41103.0,0.03481413001167769,0.19285227715064227,0.20851985208252238,0.05773160762942779,0.1387942779291553,0.1638526664071623,0.2034108602569093,0.0032752748013177508,-0.03421130328932273,-0.006331174525305171,0.023357696270354934,-0.008797887188048605,0.026674378221855255,-0.0024553810730773896,0.038461538461538464,1.0,-0.3761904761904762,79,-0.42777777777777776,77,-0.6865671641791045,46.0,0.08421052631578947,8,-0.5379310344827586,78.0,-0.5956521739130435,137,0.009776536312849162,0.26338775073337434,0.004939158595114993,0.007946518668012109,0.057491342559642826,0.00016038303705457376,0.004666355576294913,0.04607633586909773,-0.0016441067866712735,0.005054759898904802,0.16874582965394827,0.00044609880286622546,0.006484402383456011,0.1900718931923088,0.0008352507108536935,0.005344418052256532,0.12112651621778923,-0.0011195215320124532,0.0035876584549150922,0.039986583847664334,-0.0013817444237958112
